epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,339.827,0.97509,1.00168,0.99558,0.68724,0.61978,0.64265,0.4172,1.04565,1.16956,1.0282,0.000799189,0.000799189,0.000799189
43,347.538,0.96268,1.0101,0.99746,0.67117,0.6131,0.6605,0.4255,1.06354,1.15266,1.03556,0.000798364,0.000798364,0.000798364
44,355.247,0.95751,0.98803,0.99494,0.68001,0.56754,0.63155,0.42122,1.04467,1.28778,1.02432,0.000797539,0.000797539,0.000797539
45,362.939,0.95092,0.96342,0.98846,0.60486,0.5502,0.55652,0.35486,1.17331,1.51948,1.08824,0.000796715,0.000796715,0.000796715
46,370.677,0.95619,0.94748,0.98588,0.67411,0.55999,0.57881,0.36985,1.13444,1.2177,1.06835,0.00079589,0.00079589,0.00079589
47,378.438,0.95084,0.92677,0.99334,0.67569,0.53808,0.57046,0.36612,1.20263,1.58571,1.1065,0.000795065,0.000795065,0.000795065
48,386.176,0.98353,0.95123,0.98827,0.59415,0.5415,0.55807,0.35452,1.15702,1.31772,1.0811,0.000794241,0.000794241,0.000794241
49,393.922,0.96783,0.9569,1.00247,0.60584,0.60406,0.60649,0.4044,1.09585,1.16112,1.04591,0.000793416,0.000793416,0.000793416
50,401.673,0.94407,0.93042,0.97646,0.6246,0.60559,0.60444,0.40052,1.12545,1.15263,1.0733,0.000792591,0.000792591,0.000792591
51,409.403,0.95304,0.94711,0.98627,0.70303,0.61124,0.63556,0.42051,1.09992,1.15669,1.04101,0.000791767,0.000791767,0.000791767
52,417.106,0.94262,0.91261,0.98292,0.58123,0.57901,0.56638,0.37449,1.03854,1.32592,1.00382,0.000790942,0.000790942,0.000790942
53,424.884,0.95525,0.93765,0.98862,0.68806,0.51429,0.58949,0.38811,1.18675,1.38991,1.11328,0.000790117,0.000790117,0.000790117
54,432.661,0.94803,0.93351,0.97907,0.61247,0.58727,0.60041,0.38413,1.15535,1.34554,1.08038,0.000789292,0.000789292,0.000789292
55,440.408,0.92887,0.88544,0.98491,0.58483,0.57509,0.6034,0.37355,1.14185,1.26667,1.08475,0.000788468,0.000788468,0.000788468
56,448.142,0.93216,0.89844,0.97978,0.60392,0.50822,0.5312,0.32019,1.33819,1.64326,1.23388,0.000787643,0.000787643,0.000787643
57,455.841,0.90762,0.85144,0.97643,0.58202,0.57838,0.57297,0.34909,1.15022,1.27066,1.12602,0.000786818,0.000786818,0.000786818
58,463.562,0.94267,0.88107,0.9793,0.56466,0.58735,0.56703,0.36965,1.07506,1.23855,1.02575,0.000785994,0.000785994,0.000785994
59,471.282,0.94356,0.89831,0.99345,0.61322,0.51363,0.53173,0.33296,1.10306,1.2555,1.04845,0.000785169,0.000785169,0.000785169
60,478.987,0.91598,0.86832,0.97243,0.65771,0.58899,0.59599,0.3883,1.11144,1.30185,1.04227,0.000784344,0.000784344,0.000784344
61,486.789,0.91492,0.86834,0.97554,0.58715,0.52478,0.52398,0.33694,1.16455,1.54216,1.08044,0.00078352,0.00078352,0.00078352
62,494.562,0.95217,0.86177,0.97843,0.67631,0.5482,0.60325,0.38424,1.13197,1.17164,1.06539,0.000782695,0.000782695,0.000782695
63,502.261,0.93809,0.88482,0.97956,0.68947,0.58651,0.63482,0.41725,1.06799,1.21268,1.06016,0.00078187,0.00078187,0.00078187
64,509.984,0.91342,0.83662,0.97289,0.64652,0.57472,0.60301,0.39194,1.05036,1.22947,1.02642,0.000781046,0.000781046,0.000781046
65,517.736,0.93294,0.85629,0.98029,0.61166,0.51975,0.55292,0.34996,1.14416,1.34136,1.05983,0.000780221,0.000780221,0.000780221
66,525.513,0.89862,0.85117,0.95894,0.66239,0.53819,0.58315,0.37984,1.15149,1.32016,1.04848,0.000779396,0.000779396,0.000779396
67,533.262,0.9139,0.83664,0.96505,0.60693,0.42169,0.42808,0.25683,1.3921,1.64979,1.2723,0.000778572,0.000778572,0.000778572
68,540.995,0.92047,0.84309,0.97539,0.65041,0.6615,0.63539,0.40218,1.0568,1.15904,1.01181,0.000777747,0.000777747,0.000777747
69,548.749,0.92218,0.84041,0.96415,0.68805,0.60593,0.63103,0.41917,1.0255,1.01878,0.99108,0.000776922,0.000776922,0.000776922
