epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,328.525,1.05386,1.10828,1.03283,0.62359,0.62935,0.64235,0.41872,1.15902,1.14853,1.06412,0.0095941,0.0095941,0.0095941
43,336.279,1.05412,1.09387,1.03093,0.60879,0.58952,0.58662,0.38241,1.07907,1.27885,1.06163,0.0095842,0.0095842,0.0095842
44,344.141,1.03352,1.08027,1.03027,0.5357,0.38997,0.44119,0.25974,1.37089,1.77593,1.30687,0.0095743,0.0095743,0.0095743
45,351.813,1.03515,1.06671,1.02394,0.56951,0.52155,0.49841,0.3253,1.18502,1.46606,1.10287,0.0095644,0.0095644,0.0095644
46,359.551,1.02399,1.08836,1.03236,0.62245,0.58837,0.60462,0.39667,1.10772,1.23071,1.05408,0.0095545,0.0095545,0.0095545
47,367.334,1.05359,1.06949,1.01782,0.65685,0.35276,0.39546,0.24438,1.55887,2.10873,1.41293,0.0095446,0.0095446,0.0095446
48,375.154,1.05211,1.05442,1.02439,0.48468,0.22636,0.20352,0.10343,1.8788,3.67598,1.9916,0.0095347,0.0095347,0.0095347
49,382.853,1.01266,1.03248,1.01948,0.6199,0.63707,0.62354,0.40418,1.11649,1.15988,1.06119,0.0095248,0.0095248,0.0095248
50,390.605,1.02098,1.04039,1.00875,0.64221,0.42692,0.44096,0.24366,1.51988,1.83711,1.43847,0.0095149,0.0095149,0.0095149
51,398.409,1.01239,0.99811,1.00997,0.57461,0.57921,0.56863,0.3731,1.14458,1.6225,1.05411,0.009505,0.009505,0.009505
52,406.275,1.01452,1.00829,1.0239,0.63041,0.53518,0.57038,0.33865,1.26561,1.32551,1.21519,0.0094951,0.0094951,0.0094951
53,413.962,1.02403,1.00703,1.00194,0.62177,0.65441,0.62761,0.42094,1.06924,1.10092,1.03978,0.0094852,0.0094852,0.0094852
54,421.722,1.01596,0.99228,1.00013,0.6817,0.56073,0.60209,0.3872,1.15868,1.37721,1.06151,0.0094753,0.0094753,0.0094753
55,429.553,0.99763,0.97228,1.01353,0.67282,0.59839,0.62248,0.41697,1.0902,1.31054,1.05141,0.0094654,0.0094654,0.0094654
56,437.294,1.02879,1.00879,1.02476,0.03118,0.12491,0.04795,0.02857,2.49231,4.72582,2.52547,0.0094555,0.0094555,0.0094555
57,445.111,0.99478,0.95327,1.00641,0.5547,0.43426,0.4344,0.27975,1.2978,1.96463,1.18307,0.0094456,0.0094456,0.0094456
58,452.977,1.02164,0.95931,1.01575,0.552,0.29053,0.30966,0.16302,1.66126,2.60074,1.5909,0.0094357,0.0094357,0.0094357
59,460.606,0.97214,0.94913,1.00725,0.04087,0.12162,0.07346,0.037,2.69827,4.38751,2.59758,0.0094258,0.0094258,0.0094258
60,468.331,0.97343,0.9306,1.00343,0.64254,0.27697,0.36429,0.22022,1.52011,3.08611,1.3479,0.0094159,0.0094159,0.0094159
61,476.161,1.0028,0.97592,0.9996,0.65737,0.47167,0.53093,0.30265,1.37996,1.6042,1.28353,0.009406,0.009406,0.009406
62,483.958,0.98806,0.94213,0.99154,0.76762,0.62446,0.66031,0.43886,1.06669,1.14076,1.03256,0.0093961,0.0093961,0.0093961
63,491.746,0.97681,0.9668,1.00553,0.5814,0.56453,0.55066,0.36939,1.11909,1.30889,1.06516,0.0093862,0.0093862,0.0093862
64,499.492,1.01707,0.97276,1.01161,0.60525,0.57545,0.58076,0.35145,1.29661,1.38753,1.30762,0.0093763,0.0093763,0.0093763
65,507.2,0.99452,0.95022,1.00913,0.64949,0.33053,0.39072,0.23233,1.4329,2.23907,1.29327,0.0093664,0.0093664,0.0093664
66,514.924,0.98618,0.93746,1.00063,0.48871,0.44806,0.4301,0.28724,1.21736,2.14865,1.11181,0.0093565,0.0093565,0.0093565
67,522.735,0.97081,0.93475,0.99032,0.56667,0.43922,0.43362,0.24553,1.46639,1.80885,1.38481,0.0093466,0.0093466,0.0093466
68,530.552,1.00164,0.93958,1.00469,0.62655,0.57431,0.5762,0.39383,1.12384,1.32029,1.04719,0.0093367,0.0093367,0.0093367
69,538.299,0.98738,0.9213,1.00573,0.44066,0.41568,0.40264,0.21985,1.60683,2.19699,1.79888,0.0093268,0.0093268,0.0093268
70,546.119,1.0113,0.93194,1.00749,0.57149,0.55174,0.52276,0.30585,1.36407,1.64404,1.3731,0.0093169,0.0093169,0.0093169
71,553.904,0.96753,0.89159,0.9882,0.60457,0.52227,0.55421,0.34642,1.16269,1.3839,1.13819,0.009307,0.009307,0.009307
72,561.621,0.96814,0.90563,0.98924,0.63722,0.40272,0.45173,0.27375,1.36652,2.12723,1.24844,0.0092971,0.0092971,0.0092971
73,569.349,0.97139,0.90916,0.99369,0.67762,0.56608,0.60961,0.38977,1.12394,1.30159,1.07539,0.0092872,0.0092872,0.0092872
74,957.4,0.97444,0.90723,0.98587,0.64943,0.60666,0.61513,0.42524,1.06253,1.14913,1.03827,0.0092773,0.0092773,0.0092773
75,966.63,0.97935,0.90407,0.99713,0.52836,0.48208,0.47737,0.30744,1.22433,1.73913,1.12582,0.0092674,0.0092674,0.0092674
