epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
175,8377.84,0.54116,0.57117,0.10648,0.70647,0.59069,0.6244,0.38432,0.53094,0.63204,0.18353,0.0082774,0.0082774,0.0082774
176,8425.57,0.57531,0.57735,0.1149,0.74747,0.60516,0.65907,0.42863,0.50037,0.61293,0.16863,0.0082675,0.0082675,0.0082675
177,8473.3,0.50597,0.56819,0.10249,0.83263,0.59546,0.65731,0.41293,0.54562,0.62504,0.17476,0.0082576,0.0082576,0.0082576
178,8521.06,0.63103,0.57333,0.12355,0.78587,0.60067,0.67095,0.3899,0.59123,0.59145,0.17654,0.0082477,0.0082477,0.0082477
179,8568.79,0.60065,0.54226,0.12075,0.76148,0.63296,0.66406,0.37275,0.61062,0.59399,0.18375,0.0082378,0.0082378,0.0082378
180,8616.41,0.5764,0.54143,0.12109,0.78122,0.66013,0.67839,0.42198,0.56425,0.56749,0.18259,0.0082279,0.0082279,0.0082279
181,8664.14,0.55911,0.51308,0.11066,0.7836,0.59931,0.65701,0.4158,0.56302,0.59715,0.1734,0.008218,0.008218,0.008218
182,8711.82,0.51628,0.54049,0.11042,0.78386,0.58724,0.62609,0.40161,0.55429,0.61887,0.194,0.0082081,0.0082081,0.0082081
183,8759.77,0.54995,0.5595,0.11137,0.70683,0.60077,0.63298,0.40664,0.50884,0.66946,0.17927,0.0081982,0.0081982,0.0081982
184,8807.64,0.61394,0.56298,0.12631,0.74006,0.64216,0.66991,0.44885,0.49821,0.61258,0.17421,0.0081883,0.0081883,0.0081883
185,8855.33,0.55296,0.56992,0.11085,0.75722,0.61749,0.66984,0.43154,0.51673,0.59273,0.17853,0.0081784,0.0081784,0.0081784
186,8903.07,0.55939,0.55055,0.10886,0.75778,0.60272,0.64417,0.39777,0.59994,0.56689,0.18782,0.0081685,0.0081685,0.0081685
187,8950.88,0.59111,0.56433,0.11624,0.77135,0.62796,0.67894,0.43255,0.52908,0.60812,0.1715,0.0081586,0.0081586,0.0081586
188,8998.65,0.59119,0.55031,0.11534,0.72369,0.62853,0.66216,0.42948,0.52963,0.59154,0.20133,0.0081487,0.0081487,0.0081487
189,9046.34,0.5454,0.56197,0.11056,0.73981,0.65132,0.67684,0.42542,0.52079,0.59395,0.18102,0.0081388,0.0081388,0.0081388
190,9093.97,0.57577,0.5641,0.1148,0.75522,0.63291,0.67116,0.44427,0.52243,0.58263,0.18052,0.0081289,0.0081289,0.0081289
191,9141.71,0.60425,0.52308,0.12573,0.70218,0.57987,0.62097,0.38076,0.5783,0.60219,0.1825,0.008119,0.008119,0.008119
192,9189.53,0.52837,0.54302,0.10901,0.74784,0.61571,0.64802,0.42785,0.52818,0.60354,0.17737,0.0081091,0.0081091,0.0081091
193,9237.13,0.57068,0.55653,0.1197,0.7124,0.66379,0.67964,0.44156,0.52247,0.60307,0.1807,0.0080992,0.0080992,0.0080992
194,9284.74,0.59506,0.55911,0.11741,0.69304,0.61279,0.64171,0.35095,0.64803,0.63673,0.19274,0.0080893,0.0080893,0.0080893
195,9334.24,0.56491,0.57938,0.11008,0.73959,0.59682,0.6566,0.40438,0.50714,0.62961,0.17411,0.0080794,0.0080794,0.0080794
196,9382.04,0.56745,0.55699,0.10742,0.74808,0.62525,0.66402,0.41507,0.50761,0.64837,0.16367,0.0080695,0.0080695,0.0080695
197,9430,0.54318,0.56254,0.10589,0.74318,0.61153,0.65755,0.38929,0.54083,0.61654,0.16399,0.0080596,0.0080596,0.0080596
198,9477.76,0.5344,0.54377,0.1135,0.75792,0.61029,0.63941,0.38749,0.59233,0.61127,0.17172,0.0080497,0.0080497,0.0080497
199,9525.66,0.58032,0.56625,0.11592,0.62714,0.52151,0.54106,0.30091,0.66165,0.63127,0.21292,0.0080398,0.0080398,0.0080398
200,9573.59,0.58505,0.56176,0.11577,0.7604,0.62316,0.66153,0.41355,0.536,0.6184,0.18987,0.0080299,0.0080299,0.0080299
201,9621.46,0.55413,0.53855,0.11216,0.76518,0.62934,0.6781,0.40508,0.56467,0.59703,0.17734,0.00802,0.00802,0.00802
202,9669.33,0.55857,0.55056,0.11029,0.72067,0.61155,0.63527,0.39907,0.56406,0.62323,0.19507,0.0080101,0.0080101,0.0080101
203,9717.19,0.50145,0.55655,0.10434,0.70321,0.61646,0.64056,0.40762,0.52402,0.63275,0.18893,0.0080002,0.0080002,0.0080002
204,9764.94,0.5913,0.56643,0.10662,0.67861,0.60055,0.61663,0.39103,0.57171,0.65542,0.19116,0.0079903,0.0079903,0.0079903
205,9812.85,0.53517,0.56488,0.10937,0.69658,0.60378,0.62359,0.40237,0.50859,0.65621,0.16992,0.0079804,0.0079804,0.0079804
