epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,2019.69,0.78337,0.62086,0.17952,0.67305,0.57533,0.59628,0.34948,0.56986,0.73245,0.17273,0.0095941,0.0095941,0.0095941
43,2067.5,0.66506,0.61321,0.15623,0.66347,0.59285,0.6,0.3671,0.57688,0.61257,0.17507,0.0095842,0.0095842,0.0095842
44,2115.25,0.66138,0.58479,0.15295,0.71769,0.61872,0.62963,0.37443,0.56643,0.65324,0.16644,0.0095743,0.0095743,0.0095743
45,2163.08,0.67555,0.57798,0.16109,0.67765,0.63488,0.65426,0.4223,0.51666,0.66151,0.16347,0.0095644,0.0095644,0.0095644
46,2211.14,0.65908,0.59888,0.15634,0.59474,0.52389,0.51324,0.25323,0.69613,0.65746,0.19448,0.0095545,0.0095545,0.0095545
47,2258.79,0.81921,0.59044,0.18129,0.48304,0.47642,0.46268,0.24031,0.68773,0.7226,0.19349,0.0095446,0.0095446,0.0095446
48,2306.54,0.72899,0.62983,0.16614,0.60618,0.60693,0.59272,0.3188,0.60311,0.66002,0.17201,0.0095347,0.0095347,0.0095347
49,2354.36,0.69614,0.6089,0.15411,0.73064,0.57811,0.61248,0.37443,0.58372,0.64943,0.16453,0.0095248,0.0095248,0.0095248
50,2401.95,0.64922,0.62873,0.15264,0.52506,0.54111,0.51387,0.23755,0.72243,0.6701,0.22614,0.0095149,0.0095149,0.0095149
51,2449.81,0.65815,0.60482,0.1502,0.59122,0.62949,0.61901,0.38482,0.49146,0.72729,0.17795,0.009505,0.009505,0.009505
52,2497.5,0.68458,0.60629,0.16432,0.57931,0.53087,0.54329,0.2844,0.64045,0.69435,0.2099,0.0094951,0.0094951,0.0094951
53,2545.15,0.72057,0.60384,0.16075,0.31794,0.44031,0.37575,0.16773,0.7168,0.77726,0.19748,0.0094852,0.0094852,0.0094852
54,2592.63,0.72823,0.62958,0.15983,0.64673,0.52513,0.54639,0.28089,0.67213,0.66728,0.1876,0.0094753,0.0094753,0.0094753
55,2640.3,0.66345,0.60742,0.14983,0.72868,0.58919,0.62902,0.35432,0.58733,0.62956,0.18354,0.0094654,0.0094654,0.0094654
56,2687.98,0.73966,0.61036,0.16767,0.67878,0.57497,0.59361,0.35559,0.56641,0.67885,0.18082,0.0094555,0.0094555,0.0094555
57,2735.73,0.62667,0.63576,0.14298,0.6551,0.572,0.60397,0.33077,0.58532,0.69001,0.1903,0.0094456,0.0094456,0.0094456
58,2783.32,0.62868,0.61699,0.14093,0.58403,0.45016,0.444,0.2136,0.78277,0.57645,0.21481,0.0094357,0.0094357,0.0094357
59,2831,0.6265,0.59082,0.14749,0.61062,0.57198,0.56062,0.31893,0.64602,0.67089,0.17893,0.0094258,0.0094258,0.0094258
60,2878.76,0.7145,0.56905,0.15547,0.64834,0.54212,0.57164,0.31856,0.61639,0.63974,0.1708,0.0094159,0.0094159,0.0094159
61,2926.62,0.64547,0.60721,0.1417,0.69267,0.60884,0.65257,0.39272,0.54527,0.7025,0.1643,0.009406,0.009406,0.009406
62,2974.48,0.67901,0.59853,0.14645,0.72943,0.56034,0.60155,0.29317,0.63302,0.65561,0.18593,0.0093961,0.0093961,0.0093961
63,3022.24,0.62258,0.58599,0.14422,0.5078,0.40889,0.43859,0.1987,0.77988,0.66675,0.20677,0.0093862,0.0093862,0.0093862
64,3070.2,0.67872,0.58394,0.14222,0.70569,0.62294,0.66421,0.40339,0.52284,0.68955,0.16665,0.0093763,0.0093763,0.0093763
65,3118.01,0.65383,0.57443,0.14727,0.58358,0.50052,0.52565,0.30397,0.60705,0.71431,0.18361,0.0093664,0.0093664,0.0093664
